fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2023-2024,June,18,MAHARASHTRA,1803,RAIGAD,88918,276.292550439731,17,21,6.372312,292,258,15025,88918,2044,3031,16254,14208,0,252.046122,4943,8445,28255,66272,33,166959,311735,15317,245.67381,39853,56,53.48,8.92,107.07,NA
2023-2024,June,18,MAHARASHTRA,1806,NASHIK,734969,219.200023415954,21,255,366.547114241,2542,213,51947,734969,15480,11606,259654,215737,0.893,1978.492334341,33924,55455,181028,516409,337,659564,1437764,54489,1611.0522201,272130,79,40.57,11.77,99.94,NA
2023-2024,June,18,MAHARASHTRA,1807,DHULE,426522,226.033290662615,21,40,106.45017238,670,46,28814,426522,28059,16416,90950,81027,13.84118,1084.37306438,20115,32922,94082,262389,236,419896,899410,29484,964.081712,168673,88,18.66,1.09,99.92,NA
2023-2024,June,18,MAHARASHTRA,1811,SATARA,210460,228.669861256296,19,91,193.489892103,1427,614,15602,210460,12761,11982,1095,892,15.38557,690.134052103,10895,16451,67192,150352,100,390884,739148,17029,481.25859,91437,87,54.5,1.99,99.95,NA
2023-2024,June,18,MAHARASHTRA,1827,NAGPUR,466623,218.887808894975,23,151,66.8686660479999,1377,131,17329,466623,61232,34062,59829,30433,4.64523,1092.894756548,19969,28930,101443,234744,254,263620,517344,18706,1021.3808605,198991,83,53.3,4.58,105.42,NA
2023-2024,June,18,MAHARASHTRA,1829,CHANDRAPUR,2044539,207.472818542469,27,441,870.543591616,2458,42,32475,2044539,220303,66289,493141,108299,3.04445,5115.450731116,74154,129565,173961,500676,777,365611,897802,34933,4241.8626895,1141916,80,28.54,22.46,102,NA
2023-2024,June,18,MAHARASHTRA,1834,HINGOLI,1112310,230.724200987135,30,67,58.867805,801,49,21397,1112310,146195,46333,163619,44352,0,2625.236165,36540,58576,92438,240571,831,249251,578283,22198,2566.36836,444287,89,79.7,0.64,100.06,NA
2023-2024,Nov,18,MAHARASHTRA,1802,THANE,249710,272.498513916143,25,36,373.840329902999,3173,2,9725,249710,11761,3286,95064,36227,40.7738,1095.070169003,9948,17597,29267,93978,197,130217,315055,12898,680.4560391,104566,93,63.15,3.64,105.69,NA
2023-2024,Nov,18,MAHARASHTRA,1809,AHMEDNAGAR,1715722,277.27452717748,31,117,1887.10323611,14051,15,36308,1715722,121187,35669,82431,27692,198.42781,6842.79110929,54610,88934,157422,451649,3210,758882,1881617,50359,4757.26006318,701962,86,70.01,0.51,100.98,NA
2023-2024,Nov,18,MAHARASHTRA,1815,Chatrapati Sambhaji Nagar,5113137,248.094059452646,43,657,4946.224713185,6433,14,67288,5106686,167259,27533,82575,11900,336.95535,17952.564664085,118080,205802,209047,564134,11652,653730,1400596,73721,12669.3846009,2099661,94,70.23,0.67,104.07,NA
2023-2024,Nov,18,MAHARASHTRA,1826,WARDHA,716470,279.469137720307,36,138,786.09113736,3379,8,10392,716728,87326,16416,66203,13376,119.29564,2908.42033876,19459,32209,49890,122590,1137,208118,388843,13771,2003.0335614,262637,88,66.9,0.47,102.82,NA
